Medicine_ID,Medicine_Name,Category,Stock_Quantity,Price_per_unit,Supplier_Name,Expiry_Date,Purchase_Date,Reorder_Level,Prescription_Required,Units_Sold,Storage_Location
MED1673,Cetirizine,Injection,1149.9,214.72,Healthcare Distributors,01-06-2028,19-10-2025,60.0,YES,109.0,Rack B
MED817,Paracetamol,Tablet,1149.9,329.79,Pharmaplus,04-03-2027,18-05-2025,18.0,NO,178.0,Rack C
MED1069,Ibuprofen,Tablet,1149.9,460.13,Apollo Meds,16-11-2027,11-07-2025,54.0,NO,272.0,Rack C
MED465,Vitamin C,Tablet,1149.9,176.87,Wellness Pharma,01-04-2028,13-11-2025,17.0,NO,136.0,Rack C
MED1421,Azithromycin,Capsule,1149.9,314.85,Apollo Meds,30-09-2026,19-01-2025,76.0,NO,206.0,Cold Storage
MED213,Metformin,Syrup,1149.9,146.48,Caremed Pvt Ltd,08-01-2028,19-05-2025,82.0,YES,131.0,Rack A
MED464,Metfromin,Capsule,1091.8,449.19,Medisupply Co.,15-07-2029,26-06-2025,34.0,NO,99.0,Cold Storage
MED1672,Azithromycin,Syrup,1091.8,27.39,Pharmaplus,28-12-2026,27-11-2025,94.0,NO,297.0,Cold Storage
MED212,Vitamin C,Capsule,1091.8,343.9,Caremed Pvt Ltd,31-05-2027,05-01-2025,33.0,NO,299.0,Shelf 2
MED816,Paracetamol,Injection,1091.8,14.9,Wellness Pharma,26-12-2028,07-03-2025,88.0,YES,45.0,Rack B
